Country	PD_Deficit	Total_N	Backbone_tree	GDP						
Afghanistan	0.428782896	108	60	529.7412103						
Albania	0.235580531	342	285	4410.455165						
Algeria	0.255027129	371	313	3834.438983						
American_Samoa	0.365043208	694	520	11839.0105						
Andorra	0	7	7	34588.05372						
Angola	0.510384785	798	460	2390.478145						
Antigua_and_Barbuda	0.271281102	459	378	13285.64474						
Argentina	0.494424172	829	488	11344.40574						
Armenia	0.20750467	42	36	4021.046264						
Aruba	0.280998304	526	433	23026.33287						
Australia	0.617883024	4003	1892	58029.51553						
Austria	0.174096491	69	58	43346.43185						
Azerbaijan	0.470336052	82	54	5083.38164						
Bahamas,_The	0.48808759	810	502	24359.00358						
Bahrain	0.453841657	451	289	19545.57856						
Bangladesh	0.427317937	513	353	1619.775886						
Barbados	0.308251248	491	390	14329.18985						
Belarus	0.045900611	34	33	6234.824328						
Belgium	0.078601262	139	133	40424.63884						
Belize	0.34853748	603	455	3851.698241						
Benin	0.469335131	516	326	1214.659587						
Bermuda	0.325032796	423	323	99728.6431						
Bhutan	0.326616271	42	32	2879.638618						
Bolivia	0.614692176	371	171	2986.024433						
Bosnia_and_Herzegovina	0.257716856	276	233	5437.510243						
Botswana	0.641862099	80	44	6304.862302						
Brazil	0.60154647	3982	1606	8228.774263						
Brunei_Darussalam	0.469589429	469	275	30696.87715						
Bulgaria	0.272252468	198	166	7920.91133						
Burkina_Faso	0.420723193	118	78	731.5220707						
Burundi	0.502745356	233	164	270.6576744						
Cabo_Verde	0.425174719	549	362	2935.321046						
Cambodia	0.420195156	858	573	1377.145086						
Cameroon	0.530188869	857	486	1419.676711						
Canada	0.239684018	991	834	42258.69102						
Cayman_Islands	0.28336214	437	358	77959.11049						
Central_African_Republic	0.547115759	182	112	415.0909905						
Chad	0.479647294	136	86	630.5691313						
Chile	0.615534555	608	282	12890.26434						
China	0.457966682	3109	1818	10358.25945						
Colombia	0.558879437	1847	927	5871.161729						
Comoros	0.37132312	529	395	1253.044541						
Congo,_Dem._Rep.	0.536942077	1081	631	505.348339						
Congo,_Rep.	0.538945338	710	415	1639.237435						
Costa_Rica	0.504681243	993	612	12126.62595						
Cote_d'Ivoire	0.517584667	565	334	2313.793388						
Croatia	0.257029533	332	273	12984.69587						
Cuba	0.406605029	964	667	7156.106821						
Curacao	0.310902759	575	456	14748.89555						
Cyprus	0.196899064	189	168	26502.84766						
Czechia	0	53	53	18984.6373						
Denmark	0.132254484	174	161	56202.16585						
Djibouti	0.334872387	358	280	3102.358706						
Dominica	0.306254109	461	367	6566.729051						
Ecuador	0.570895678	965	461	5315.516535						
Egypt,_Arab_Rep.	0.388298703	836	589	4028.42092						
El_Salvador	0.481531693	526	308	3632.453881						
Equatorial_Guinea	0.519804511	488	281	6860.37407						
Estonia	0.098665652	64	61	19767.0776						
Ethiopia	0.519463883	118	74	826.9730532						
