country,deficit,S,present,genus_insert,family_insert,order_insert
Cambodia,0.516580691,861,551,214,92,4
Laos,0.685905543,549,258,236,52,3
Thailand,0.586109477,1965,1101,654,205,5
Malawi,0.799212842,295,102,159,34,0
Mozambique,0.518538511,1610,987,457,158,8
Tanzania,0.585793513,1575,944,509,115,7
Australia,0.6749881,4036,1874,1476,604,82
Indonesia,0.723883134,4405,1836,1930,603,36
Ryukyu Is.,0.550029401,1469,905,436,124,4
New Caledonia,0.590071895,2277,1253,740,251,33
Bahrain,0.518592481,456,282,135,39,0
Solomon Is.,0.591134954,948,538,344,61,5
Brunei Darsm,0.557909754,473,275,142,55,1
Myanmar,0.553445483,951,554,312,84,1
Sri Lanka,0.494330916,980,663,249,67,1
China,0.56912893,3088,1740,1115,222,11
Taiwan,0.564218623,2599,1530,801,249,19
Comoros,0.419331278,533,395,100,35,3
Fiji,0.533142986,1190,726,349,100,15
Djibouti,0.395314651,358,277,66,15,0
Kiribati,0.439648357,510,369,123,18,0
Guam,0.432416435,957,704,198,53,2
Hong Kong,0.433202592,989,699,219,70,1
India,0.632551235,2170,1104,846,216,4
Iran,0.513639012,572,321,202,49,0
Iraq,0.450554851,268,182,70,16,0
Israel,0.515168309,537,346,161,28,2
Japan,0.606095191,3703,2000,1226,430,47
Jordan,0.459242321,507,359,121,27,0
Kenya,0.566664296,956,555,318,81,2
Korea (South),0.430005553,975,695,216,62,2
Kuwait,0.511348311,462,290,133,39,0
Madagascar,0.491116401,988,659,241,80,8
Malaysia,0.580253967,1744,998,551,190,5
Maldives,0.496195626,1066,736,258,62,10
Oman,0.553547814,932,566,271,93,2
Nauru,0.242706689,76,64,12,0,0
Vanuatu,0.474014457,804,544,198,58,4
Niue,0.260533319,220,194,22,3,1
Micronesia,0.483827886,1186,826,285,69,6
Palau,0.523548452,1496,976,419,94,7
Pakistan,0.483309308,605,397,157,51,0
Papua New Guinea,0.620322003,2634,1392,938,281,23
Philippines,0.655357122,3022,1464,1168,364,26
Qatar,0.50162987,443,279,126,38,0
Saudi Arabia,0.55573331,764,444,250,67,3
Seychelles,0.49686299,1097,743,276,74,4
Singapore,0.506295975,592,380,146,65,1
Viet Nam,0.541824758,2257,1365,697,186,9
Somalia,0.461884929,753,533,183,34,3
South Africa,0.512946862,1775,1107,463,184,21
Sudan,0.467145716,434,297,104,33,0
United Arab Em.,0.494943661,453,289,127,37,0
Egypt,0.447065184,833,576,197,57,3
Chagos Is.,0.431437447,724,537,144,38,5
Wallis Futuna,0.351514229,183,144,35,4,0
Yemen,0.485903967,677,472,167,36,2
Eritrea,0.52016143,320,208,99,12,1
Andaman Is.,0.48671989,1244,849,293,99,3
Mauritius,0.449019818,1012,727,214,68,3
Réunion,0.402882806,885,668,159,54,4
Tonga,0.462403189,1109,786,251,67,5
Korea (North),0.366923437,260,197,54,9,0
Russia,0.513329301,853,554,240,58,1
Norfolk I.,0.457091239,283,195,68,20,0
Lord Howe I.,0.421441001,456,346,85,25,0
American Samoa,0.427975944,701,519,143,35,4
Angola,0.576040047,796,431,257,104,4
Antigua Barbuda,0.324947887,463,368,73,22,0
Bahamas,0.547086934,815,492,212,102,9
Barbados,0.377076468,495,381,87,27,0
Bermuda,0.381330325,421,319,71,26,5
Brazil,0.725379649,4002,1581,1917,499,5
Belize,0.400241603,606,440,128,38,0
Virgin Is. (UK),0.349216697,449,351,73,24,1
Cameroon,0.581691052,859,459,278,119,3
Cape Verde,0.478374874,544,350,151,38,5
Cayman Is.,0.344456572,443,349,71,22,1
Colombia,0.650019512,1856,913,760,146,37
Mayotte,0.313836232,315,259,46,8,2
Congo,0.580159365,711,396,232,80,3
Congo Dem Rp,0.630290564,1082,598,348,133,3
Cook Is.,0.323841036,540,444,82,11,3
Costa Rica,0.57101073,998,594,333,68,3
Cuba,0.472258481,970,652,237,79,2
Benin,0.519390286,519,312,132,73,2
Dominica,0.35988787,465,358,84,23,0
Dominican Rp,0.345130957,473,376,77,19,1
Ecuador,0.636581877,970,455,408,90,17
Galapagos Is.,0.574130787,406,243,130,28,5
El Salvador,0.548589437,531,304,195,30,2
Eq Guinea,0.566115412,489,270,152,66,1
French Guiana,0.51720357,876,548,267,55,6
French Polynesia,0.482262877,866,591,219,54,2
Gabon,0.557698675,645,364,198,82,1
Gambia,0.518652785,490,298,140,52,0
Ghana,0.554199835,600,344,174,82,0
Grenada,0.344513572,466,372,73,21,0
Guadeloupe,0.356780277,403,311,72,20,0
Guatemala,0.529250083,816,531,234,49,2
Guinea,0.549784824,680,392,205,83,0
Guyana,0.546138082,895,537,284,74,0
Haiti,0.36000196,478,377,74,26,1
Honduras,0.543267113,945,592,293,57,3
Cote d'Ivoire,0.56064557,568,318,175,75,0
Jamaica,0.403424018,580,434,117,27,2
Liberia,0.543110442,528,298,170,60,0
Martinique,0.354567512,423,330,73,20,0
Mauritania,0.448874333,594,398,150,42,4
Mexico,0.563081576,2163,1315,656,178,14
Montserrat,0.327692637,377,302,57,18,0
Namibia,0.538472494,553,325,152,69,7
Curaçao I.,0.378083643,577,448,93,35,1
Aruba,0.346187745,529,424,81,24,0
New Zealand,0.608733428,872,446,293,112,21
Kermadec Is.,0.491011567,185,117,52,12,4
