Country	PD_deficit	S	Present
Myanmar	0.469610889	947	569
India	0.553644656	2144	1131
Afghanistan	0.428782896	108	60
Andorra	0	7	7
Azerbaijan	0.470336052	82	54
Austria	0.174096491	69	58
Armenia	0.20750467	42	36
Belgium	0.078601262	139	133
Bosnia Herzegov.	0.257716856	276	233
Bulgaria	0.272252468	198	166
Belarus	0.045900611	34	33
Croatia	0.257029533	332	273
Czechia	0	53	53
Denmark	0.132254484	174	161
Estonia	0.098665652	64	61
Finland	0.078656822	81	76
France	0.303547878	651	506
Georgia	0.27783399	124	104
Germany	0.167398033	188	167
Greece	0.292810525	484	386
Hungary	0.003407344	57	56
Iran	0.440002826	557	324
Ireland	0.258221005	320	255
Italy	0.297692311	456	366
Kazakhstan	0.546263457	92	60
Latvia	0	80	80
Liechtenstein	0	12	12
Lithuania	0.002158563	80	79
Luxembourg	0.087440149	12	11
Moldova	0.088746211	55	52
Montenegro	0.279859833	265	214
Netherlands	0.081103391	159	152
Norway	0.194846671	239	210
Poland	0.120065739	106	98
Romania	0.281811721	173	145
Russia	0.36375562	860	582
Slovakia	0.048219552	62	60
Slovenia	0.226818312	326	282
Spain	0.31364572	650	501
Sweden	0.099047703	194	179
Switzerland	0.156053385	59	49
Turkey	0.344085589	620	394
Turkmenistan	0.483092671	49	29
Ukraine	0.27107347	216	174
North Macedonia	0.403923059	52	37
UK	0.232001504	322	275
Uzbekistan	0.568472589	49	32
Serbia	0.119260856	72	69
Argentina	0.494424172	829	488
Bolivia	0.614692176	371	171
Brazil	0.60154647	3982	1606
Colombia	0.558879437	1847	927
Ecuador	0.570895678	965	461
Guyana	0.459884523	891	548
Paraguay	0.489350726	244	144
Peru	0.583070281	1359	597
Uruguay	0.414854933	583	398
Venezuela	0.503140799	1536	815
French Polynesia	0.427998744	857	594
Midway Is.	0.344517013	63	44
Hawaii	0.565424696	1078	565
Australia	0.617883024	4003	1892
Solomon Is.	0.53544139	938	541
Cambodia	0.420195156	858	573
China	0.457966682	3109	1818
Taiwan	0.486632488	2587	1555
Hong Kong	0.367343802	1098	799
Indonesia	0.644835499	4365	1871
Japan	0.530192403	3674	2032
Ryukyu Is.	0.472534952	1454	904
Korea (South)	0.366921359	966	715
