"grids","species"
"Amu.Darya","Abbottina rivularis"
"Amu.Darya","Abbottina rivularis"
"Amu.Darya","Abbottina rivularis"
"Amu.Darya","Abbottina rivularis"
"Amu.Darya","Abbottina rivularis"
"Amu.Darya","Abbottina rivularis"
"Amu.Darya","Abbottina rivularis"
"Amu.Darya","Abbottina rivularis"
"Amu.Darya","Abbottina rivularis"
"Amu.Darya","Abbottina rivularis"
"Syr.Darya","Abbottina rivularis"
"Syr.Darya","Abbottina rivularis"
"Syr.Darya","Abbottina rivularis"
"Syr.Darya","Abbottina rivularis"
"Amu.Darya","Abramis brama"
"Amu.Darya","Abramis brama"
"Pichin.Lora","Abudefduf bengalensis"
"Mar.Chiquita","Acanthistius patachonicus"
"Blue.lake.Aus","Acanthopagrus butcheri"
"Amu.Darya","Acipenser baerii"
"Abant.lake","Alburnoides bipunctatus"
"Beysehir","Alburnoides bipunctatus"
"Heraz","Alburnoides bipunctatus"
"Kor","Alburnoides bipunctatus"
"Namak","Alburnoides bipunctatus"
"Prespa","Alburnoides bipunctatus"
"Prespa","Alburnoides bipunctatus"
"Namak","Alburnoides eichwaldii"
"Sevan","Alburnoides eichwaldii"
"Amu.Darya","Alburnoides holciki"
"Amu.Darya","Alburnoides holciki"
"Amu.Darya","Alburnoides holciki"
"Amu.Darya","Alburnoides holciki"
"Amu.Darya","Alburnoides holciki"
"Amu.Darya","Alburnoides holciki"
"Amu.Darya","Alburnoides holciki"
"Amu.Darya","Alburnoides holciki"
"Amu.Darya","Alburnoides holciki"
"Amu.Darya","Alburnoides holciki"
"Amu.Darya","Alburnoides holciki"
"Amu.Darya","Alburnoides holciki"
"Amu.Darya","Alburnoides holciki"
"Amu.Darya","Alburnoides holciki"
"Amu.Darya","Alburnoides holciki"
"Amu.Darya","Alburnoides holciki"
"Amu.Darya","Alburnoides holciki"
"Amu.Darya","Alburnoides holciki"
"Amu.Darya","Alburnoides holciki"
"Amu.Darya","Alburnoides holciki"
"Amu.Darya","Alburnoides holciki"
"Amu.Darya","Alburnoides holciki"
"Amu.Darya","Alburnoides holciki"
"Amu.Darya","Alburnoides holciki"
"Amu.Darya","Alburnoides holciki"
"Amu.Darya","Alburnoides holciki"
"Amu.Darya","Alburnoides holciki"
"Amu.Darya","Alburnoides holciki"
"Amu.Darya","Alburnoides holciki"
"Amu.Darya","Alburnoides holciki"
"Amu.Darya","Alburnoides holciki"
"Amu.Darya","Alburnoides holciki"
"Amu.Darya","Alburnoides holciki"
"Amu.Darya","Alburnoides holciki"
"Amu.Darya","Alburnoides holciki"
"Amu.Darya","Alburnoides holciki"
"Amu.Darya","Alburnoides holciki"
"Amu.Darya","Alburnoides holciki"
"Amu.Darya","Alburnoides holciki"
"Amu.Darya","Alburnoides holciki"
"Amu.Darya","Alburnoides holciki"
"Amu.Darya","Alburnoides holciki"
"Amu.Darya","Alburnus chalcoides"
"Amu.Darya","Alburnus chalcoides"
"Amu.Darya","Alburnus chalcoides"
"Amu.Darya","Alburnus chalcoides"
"Tarim","Alburnus chalcoides"
"Bear.river","Amatitlania nigrofasciata"
"Bear.river","Amatitlania nigrofasciata"
"Bear.river","Amatitlania nigrofasciata"
"Bear.river","Amatitlania nigrofasciata"
"Bear.river","Amatitlania nigrofasciata"
"Bear.river","Amatitlania nigrofasciata"
"Bear.river","Amatitlania nigrofasciata"
"Bear.river","Amatitlania nigrofasciata"
"Bear.river","Amatitlania nigrofasciata"
"Casas.Grandes","Ambloplites rupestris"
"Casas.Grandes","Ambloplites rupestris"
"Antelope.Wash","Ameiurus catus"
"Humboldt","Ameiurus catus"
"Humboldt","Ameiurus catus"
"Humboldt","Ameiurus catus"
"Humboldt","Ameiurus catus"
"Humboldt","Ameiurus catus"
"Humboldt","Ameiurus catus"
"Humboldt","Ameiurus catus"
"Humboldt","Ameiurus catus"
"Humboldt","Ameiurus catus"
"Humboldt","Ameiurus catus"
"Humboldt","Ameiurus catus"
"Humboldt","Ameiurus catus"
"Humboldt","Ameiurus catus"
"Humboldt","Ameiurus catus"
"Humboldt","Ameiurus catus"
"Humboldt","Ameiurus catus"
"Humboldt","Ameiurus catus"
"Humboldt","Ameiurus catus"
"Humboldt","Ameiurus catus"
"Humboldt","Ameiurus catus"
"Quinn","Ameiurus catus"
"Truckee","Ameiurus catus"
"Truckee","Ameiurus catus"
"Truckee","Ameiurus catus"
"Truckee","Ameiurus catus"
"Truckee","Ameiurus catus"
"Warner.valley","Ameiurus catus"
"Albert.lake","Ameiurus melas"
"Albert.lake","Ameiurus melas"
"Albert.lake","Ameiurus melas"
"Albert.lake","Ameiurus melas"
"Antelope.Wash","Ameiurus melas"
"Bear.river","Ameiurus melas"
