country,PD_deficit,totalN,backbone_tree,genus_level,family_level,order_level
Indonesia,0.72,4405,1836,1930,603,36
Australia,0.67,4036,1874,1476,604,82
Brazil,0.73,4002,1581,1917,499,5
Japan,0.61,3703,2000,1226,430,47
China,0.57,3088,1740,1115,222,11
Philippines,0.66,3022,1464,1168,364,26
Papua New Guinea,0.62,2634,1392,938,281,23
Taiwan,0.56,2599,1530,801,249,19
USA,0.44,2382,1724,494,153,11
New Caledonia,0.59,2277,1253,740,251,33
Viet Nam,0.54,2257,1365,697,186,9
India,0.63,2170,1104,846,216,4
Mexico,0.56,2163,1315,656,178,14
Thailand,0.59,1965,1101,654,205,5
Colombia,0.65,1856,913,760,146,37
South Africa,0.51,1775,1107,463,184,21
Malaysia,0.58,1744,998,551,190,5
Mozambique,0.52,1610,987,457,158,8
Tanzania,0.59,1575,944,509,115,7
Venezuela,0.60,1546,801,573,168,4
Palau,0.52,1496,976,419,94,7
Ryukyu Is.,0.55,1469,905,436,124,4
Peru,0.66,1367,591,605,150,21
Panama,0.63,1268,674,471,112,11
Andaman Is.,0.49,1244,849,293,99,3
Fiji,0.53,1190,726,349,100,15
Micronesia,0.48,1186,826,285,69,6
Tonga,0.46,1109,786,251,67,5
Seychelles,0.50,1097,743,276,74,4
Hawaii,0.63,1085,555,383,121,26
Congo Dem Rp,0.63,1082,598,348,133,3
Maldives,0.50,1066,736,258,62,10
Mauritius,0.45,1012,727,214,68,3
Costa Rica,0.57,998,594,333,68,3
Hong Kong,0.43,989,699,219,70,1
Madagascar,0.49,988,659,241,80,8
Canada,0.32,987,810,123,46,8
Sri Lanka,0.49,980,663,249,67,1
Korea (South),0.43,975,695,216,62,2
Cuba,0.47,970,652,237,79,2
Ecuador,0.64,970,455,408,90,17
Nicaragua,0.53,965,615,293,55,2
Guam,0.43,957,704,198,53,2
Kenya,0.57,956,555,318,81,2
Myanmar,0.55,951,554,312,84,1
Solomon Is.,0.59,948,538,344,61,5
Honduras,0.54,945,592,293,57,3
Suriname,0.54,944,576,300,62,6
Samoa,0.43,934,693,188,50,3
Oman,0.55,932,566,271,93,2
Marshall Is.,0.50,929,633,232,59,5
Guyana,0.55,895,537,284,74,0
Trinidad Tobago,0.47,892,617,217,56,2
Réunion,0.40,885,668,159,54,4
French Guiana,0.52,876,548,267,55,6
New Zealand,0.61,872,446,293,112,21
French Polynesia,0.48,866,591,219,54,2
Cambodia,0.52,861,551,214,92,4
Cameroon,0.58,859,459,278,119,3
Russia,0.51,853,554,240,58,1
Egypt,0.45,833,576,197,57,3
Argentina,0.56,826,477,273,74,2
Guatemala,0.53,816,531,234,49,2
Bahamas,0.55,815,492,212,102,9
Vanuatu,0.47,804,544,198,58,4
Angola,0.58,796,431,257,104,4
Ogasawara Is.,0.45,783,578,165,40,0
Saudi Arabia,0.56,764,444,250,67,3
North Marianas,0.39,757,592,130,33,2
Somalia,0.46,753,533,183,34,3
Chagos Is.,0.43,724,537,144,38,5
Puerto Rico,0.48,719,488,172,58,1
Congo,0.58,711,396,232,80,3
American Samoa,0.43,701,519,143,35,4
Guinea,0.55,680,392,205,83,0
Yemen,0.49,677,472,167,36,2
Senegal,0.53,667,395,198,71,3
Nigeria,0.56,663,377,187,96,3
France,0.39,649,489,113,43,4
Spain,0.39,646,482,112,45,7
Gabon,0.56,645,364,198,82,1
Turkey,0.47,621,373,224,23,1
Belize,0.40,606,440,128,38,0
Pakistan,0.48,605,397,157,51,0
Chile,0.66,605,274,240,81,10
Christmas I.,0.40,603,474,99,29,1
Ghana,0.55,600,344,174,82,0
Mauritania,0.45,594,398,150,42,4
Singapore,0.51,592,380,146,65,1
Guinea-Bissau,0.51,588,359,170,59,0
Sierra Leone,0.55,586,337,184,64,1
Uruguay,0.44,582,390,153,39,0
Jamaica,0.40,580,434,117,27,2
Curaçao I.,0.38,577,448,93,35,1
Morocco,0.43,575,392,127,46,10
Iran,0.51,572,321,202,49,0
Cote d'Ivoire,0.56,568,318,175,75,0
Namibia,0.54,553,325,152,69,7
Laos,0.69,549,258,236,52,3
Cape Verde,0.48,544,350,151,38,5
Cook Is.,0.32,540,444,82,11,3
Israel,0.52,537,346,161,28,2
Comoros,0.42,533,395,100,35,3
Virgin Is. (US),0.40,531,387,107,36,1
El Salvador,0.55,531,304,195,30,2
Aruba,0.35,529,424,81,24,0
Liberia,0.54,528,298,170,60,0
Benin,0.52,519,312,132,73,2
Bangladesh,0.50,512,338,125,48,1
Kiribati,0.44,510,369,123,18,0
Jordan,0.46,507,359,121,27,0
Cocos Is. (Keel),0.37,503,405,77,20,1
Madeira Is.,0.43,500,332,114,36,18
Barbados,0.38,495,381,87,27,0
Gambia,0.52,490,298,140,52,0
Eq Guinea,0.57,489,270,152,66,1
Togo,0.51,486,302,129,55,0
Greece,0.36,481,367,90,23,1
Haiti,0.36,478,377,74,26,1
Dominican Rp,0.35,473,376,77,19,1
Brunei Darsm,0.56,473,275,142,55,1
Canary Is.,0.43,471,314,118,33,6
Grenada,0.34,466,372,73,21,0
Dominica,0.36,465,358,84,23,0
Antigua Barbuda,0.32,463,368,73,22,0
Kuwait,0.51,462,290,133,39,0
St Lucia,0.33,460,365,74,21,0
Italy,0.37,456,351,77,27,1
Lord Howe I.,0.42,456,346,85,25,0
Bahrain,0.52,456,282,135,39,0
Portugal,0.37,455,351,74,24,6
Alaska,0.45,455,342,73,38,2
St Vincent Gren.,0.34,454,360,69,25,0
United Arab Em.,0.49,453,289,127,37,0
Virgin Is. (UK),0.35,449,351,73,24,1
Cayman Is.,0.34,443,349,71,22,1
Qatar,0.50,443,279,126,38,0
Sudan,0.47,434,297,104,33,0
St Kitts Nevis,0.33,429,342,69,18,0
