"grids","species"
"Amu.Darya","Abbottina rivularis"
"Syr.Darya","Abbottina rivularis"
"Amu.Darya","Abramis brama"
"Pichin.Lora","Abudefduf bengalensis"
"Mar.Chiquita","Acanthistius patachonicus"
"Blue.lake.Aus","Acanthopagrus butcheri"
"Amu.Darya","Acipenser baerii"
"Abant.lake","Alburnoides bipunctatus"
"Beysehir","Alburnoides bipunctatus"
"Heraz","Alburnoides bipunctatus"
"Kor","Alburnoides bipunctatus"
"Namak","Alburnoides bipunctatus"
"Prespa","Alburnoides bipunctatus"
"Namak","Alburnoides eichwaldii"
"Sevan","Alburnoides eichwaldii"
"Amu.Darya","Alburnoides holciki"
"Amu.Darya","Alburnus chalcoides"
"Tarim","Alburnus chalcoides"
"Bear.river","Amatitlania nigrofasciata"
"Casas.Grandes","Ambloplites rupestris"
"Antelope.Wash","Ameiurus catus"
"Humboldt","Ameiurus catus"
"Quinn","Ameiurus catus"
"Truckee","Ameiurus catus"
"Warner.valley","Ameiurus catus"
"Albert.lake","Ameiurus melas"
"Antelope.Wash","Ameiurus melas"
"Bear.river","Ameiurus melas"
"Casas.Grandes","Ameiurus melas"
"Del.Carmen","Ameiurus melas"
"Humboldt","Ameiurus melas"
"Malheur.lake","Ameiurus melas"
"Mojave","Ameiurus melas"
"Qaidam","Ameiurus melas"
"Qinghai","Ameiurus melas"
"Ruoshui","Ameiurus melas"
"Santa.Maria","Ameiurus melas"
"Shule","Ameiurus melas"
"Truckee","Ameiurus melas"
"Walker.USA","Ameiurus melas"
"White.Woman.creek","Ameiurus melas"
"Whitewater","Ameiurus melas"
"Antelope.Wash","Ameiurus natalis"
"Bear.river","Ameiurus natalis"
"Del.Carmen","Ameiurus natalis"
"Qinghai","Ameiurus natalis"
"Ruoshui","Ameiurus natalis"
"Shule","Ameiurus natalis"
"Warner.valley","Ameiurus natalis"
"Whitewater","Ameiurus natalis"
"Albert.lake","Ameiurus nebulosus"
"Antelope.Wash","Ameiurus nebulosus"
"Bear.river","Ameiurus nebulosus"
"Humboldt","Ameiurus nebulosus"
"Malheur.lake","Ameiurus nebulosus"
"Mojave","Ameiurus nebulosus"
"Owens","Ameiurus nebulosus"
"Truckee","Ameiurus nebulosus"
"Walker.USA","Ameiurus nebulosus"
"Warner.valley","Ameiurus nebulosus"
"Lake.Eyre.Basin","Amniataba percoides"
"Lake.Machattie","Amniataba percoides"
"Walkabout.creek","Amniataba percoides"
"Bear.river","Amphilophus labiatus"
"Whitewater","Anablepsoides hartii"
"Bahar.el.Hammar","Anguilla anguilla"
"Dead.Sea","Anguilla anguilla"
"Malawi","Anguilla marmorata"
"Bear.river","Anguilla rostrata"
"Guir","Aphanius fasciatus"
"Irharhar","Aphanius fasciatus"
"Loukos","Aphanius fasciatus"
"Sebkhet.Safioune","Aphanius fasciatus"
"Tuz","Aphanius fasciatus"
"Beysehir","Aphanius mento"
"Burdur","Aphanius mento"
"Dead.Sea","Aphanius mento"
"Qinghai","Aplodinotus grunniens"
"Ruoshui","Aplodinotus grunniens"
"Shule","Aplodinotus grunniens"
"Syr.Darya","Argyropelecus gigas"
"Lake.Eyre.Basin","Argyrops spinifer"
"Edward","Astatoreochromis alluaudi"
"George.lake","Astatoreochromis alluaudi"
"Kyoga","Astatoreochromis alluaudi"
"Lake.Bunyonyi","Astatoreochromis alluaudi"
"Victoria.lake","Astatoreochromis alluaudi"
"Bear.river","Astronotus ocellatus"
"Mar.Chiquita","Astyanax abramis"
"Cuitzeo","Astyanax aeneus"
"Mar.Chiquita","Astyanax fasciatus"
"Nazas","Astyanax fasciatus"
"Valle.de.Mexico","Astyanax fasciatus"
"Salina.Grandes","Astyanax hermosus"
"Mar.Chiquita","Astyanax lacustris"
"Aguanaval","Astyanax mexicanus"
"Bolson.de.Cuatro.Cienegas","Astyanax mexicanus"
"Nazas","Astyanax mexicanus"
"Santa.Maria","Astyanax mexicanus"
"Valle.de.Mexico","Astyanax mexicanus"
"Nazas","Awaous banana"
"Valle.de.Mexico","Bagre marinus"
"Edward","Bagrus docmak"
"George.lake","Bagrus docmak"
"Kyoga","Bagrus docmak"
"Lake.Albert","Bagrus docmak"
"Tanganyika","Bagrus docmak"
"Tchad","Bagrus docmak"
"Turkana","Bagrus docmak"
"Victoria.lake","Bagrus docmak"
"Namak","Barbus cyri"
"Sevan","Barbus cyri"
"Zarrine","Barbus cyri"
"Namak","Barbus lacerta"
"Van","Barbus lacerta"
"Laguna.Inchauspe","Bryconamericus iheringii"
"Mar.Chiquita","Bryconamericus iheringii"
"Qinghai","Campostoma anomalum"
"Ruoshui","Campostoma anomalum"
"Shiyang","Campostoma anomalum"
"Shule","Campostoma anomalum"
"Aguanaval","Campostoma ornatum"
"Casas.Grandes","Campostoma ornatum"
"Del.Carmen","Campostoma ornatum"
"Nazas","Campostoma ornatum"
"Santa.Maria","Campostoma ornatum"
"Dasht.e.Kavir","Capoeta aculeata"
"Esfahan","Capoeta aculeata"
"Kor","Capoeta aculeata"
"Namak","Capoeta aculeata"
"Dead.Sea","Capoeta damascina"
"Esfahan","Capoeta damascina"
"Kor","Capoeta damascina"
"Maharlu","Capoeta damascina"
"Namak","Capoeta damascina"
"Beysehir","Capoeta pestai"
"Amu.Darya","Capoetobrama kuschakewitschi"
"Valle.de.Mexico","Carangoides bartholomaei"
"Kal.e.Shur","Carasobarbus kosswigi"
"Maharlu","Carasobarbus luteus"
"Aguanaval","Carassius auratus"
"Amu.Darya","Carassius auratus"
"Antelope.Wash","Carassius auratus"
"Avoca","Carassius auratus"
"Barongarook.creek","Carassius auratus"
"Bear.river","Carassius auratus"
"Boree.creek","Carassius auratus"
"Casas.Grandes","Carassius auratus"
"Corangamite","Carassius auratus"
"Cornella.creek","Carassius auratus"
"Cuitzeo","Carassius auratus"
"Dead.Sea","Carassius auratus"
"Death.Valley","Carassius auratus"
"Helmand","Carassius auratus"
"Heraz","Carassius auratus"
"Humboldt","Carassius auratus"
"Issyk.Kul","Carassius auratus"
"Lake.Boga","Carassius auratus"
"Lake.Bringalbert","Carassius auratus"
"Lake.Eyre.Basin","Carassius auratus"
"Lake.George","Carassius auratus"
"Lake.Hindmarsh","Carassius auratus"
"Lake.Tyrrell","Carassius auratus"
"Maharlu","Carassius auratus"
