"s" "f" "o"
"1" "Aapticheilichthys_websteri" "Poeciliidae" "Cyprinodontiformes"
"2" "Aaptosyax_grypus" "Cyprinidae" "Cypriniformes"
"3" "Abactochromis_labrosus" "Cichlidae" "Cichliformes"
"4" "Abalistes_filamentosus" "Balistidae" "Tetraodontiformes"
"5" "Abalistes_stellaris" "Balistidae" "Tetraodontiformes"
"6" "Abalistes_stellatus" "Balistidae" "Tetraodontiformes"
"7" "Abbottina_binhi" "Cyprinidae" "Cypriniformes"
"8" "Abbottina_lalinensis" "Cyprinidae" "Cypriniformes"
"9" "Abbottina_liaoningensis" "Cyprinidae" "Cypriniformes"
"10" "Abbottina_obtusirostris" "Cyprinidae" "Cypriniformes"
"11" "Abbottina_rivularis" "Cyprinidae" "Cypriniformes"
"12" "Ablabys_binotatus" "Tetrarogidae" "Perciformes"
"13" "Ablabys_macracanthus" "Tetrarogidae" "Perciformes"
"14" "Ablabys_taenianotus" "Tetrarogidae" "Perciformes"
"15" "Ablennes_hians" "Belonidae" "Beloniformes"
"16" "Aboma_etheostoma" "Gobiidae" "Gobiiformes"
"17" "Aborichthys_cataracta" "Nemacheilidae" "Cypriniformes"
"18" "Aborichthys_elongatus" "Nemacheilidae" "Cypriniformes"
"19" "Aborichthys_garoensis" "Nemacheilidae" "Cypriniformes"
"20" "Aborichthys_kempi" "Nemacheilidae" "Cypriniformes"
"21" "Aborichthys_rosammai" "Nemacheilidae" "Cypriniformes"
"22" "Aborichthys_tikaderi" "Nemacheilidae" "Cypriniformes"
"23" "Aborichthys_verticauda" "Nemacheilidae" "Cypriniformes"
"24" "Aborichthys_waikhomi" "Nemacheilidae" "Cypriniformes"
"25" "Abramis_brama" "Cyprinidae" "Cypriniformes"
"26" "Abramites_eques" "Anostomidae" "Characiformes"
"27" "Abramites_hypselonotus" "Anostomidae" "Characiformes"
"28" "Abudefduf_abdominalis" "Pomacentridae" "Perciformes"
"29" "Abudefduf_bengalensis" "Pomacentridae" "Perciformes"
"30" "Abudefduf_concolor" "Pomacentridae" "Perciformes"
"31" "Abudefduf_conformis" "Pomacentridae" "Perciformes"
"32" "Abudefduf_declivifrons" "Pomacentridae" "Perciformes"
"33" "Abudefduf_hoefleri" "Pomacentridae" "Perciformes"
"34" "Abudefduf_lorenzi" "Pomacentridae" "Perciformes"
"35" "Abudefduf_margariteus" "Pomacentridae" "Perciformes"
"36" "Abudefduf_natalensis" "Pomacentridae" "Perciformes"
"37" "Abudefduf_notatus" "Pomacentridae" "Perciformes"
"38" "Abudefduf_saxatilis" "Pomacentridae" "Perciformes"
"39" "Abudefduf_septemfasciatus" "Pomacentridae" "Perciformes"
"40" "Abudefduf_sexfasciatus" "Pomacentridae" "Perciformes"
"41" "Abudefduf_sordidus" "Pomacentridae" "Perciformes"
"42" "Abudefduf_sparoides" "Pomacentridae" "Perciformes"
"43" "Abudefduf_taurus" "Pomacentridae" "Perciformes"
"44" "Abudefduf_troschelii" "Pomacentridae" "Perciformes"
"45" "Abudefduf_vaigiensis" "Pomacentridae" "Perciformes"
"46" "Abudefduf_whitleyi" "Pomacentridae" "Perciformes"
"47" "Abyssoberyx_levisquamosus" "Stephanoberycidae" "Stephanoberyciformes"
"48" "Abyssobrotula_galatheae" "Ophidiidae" "Ophidiiformes"
"49" "Abyssocottus_elochini" "Abyssocottidae" "Perciformes"
"50" "Abyssocottus_gibbosus" "Abyssocottidae" "Perciformes"
"51" "Abyssocottus_korotneffi" "Abyssocottidae" "Perciformes"
"52" "Acanthaluteres_brownii" "Monacanthidae" "Tetraodontiformes"
"53" "Acanthaluteres_spilomelanurus" "Monacanthidae" "Tetraodontiformes"
"54" "Acanthaluteres_vittiger" "Monacanthidae" "Tetraodontiformes"
"55" "Acanthanectes_hystrix" "Tripterygiidae" "Perciformes"
"56" "Acanthanectes_rufus" "Tripterygiidae" "Perciformes"
"57" "Acanthaphritis_barbata" "Percophidae" "Pempheriformes"
"58" "Acanthaphritis_grandisquamis" "Percophidae" "Pempheriformes"
"59" "Acanthaphritis_ozawai" "Percophidae" "Pempheriformes"
"60" "Acanthaphritis_unoorum" "Percophidae" "Pempheriformes"
"61" "Acantharchus_pomotis" "Centrarchidae" "Centrarchiformes"
"62" "Acanthemblemaria_aspera" "Chaenopsidae" "Perciformes"
"63" "Acanthemblemaria_atrata" "Chaenopsidae" "Perciformes"
"64" "Acanthemblemaria_balanorum" "Chaenopsidae" "Perciformes"
"65" "Acanthemblemaria_betinensis" "Chaenopsidae" "Perciformes"
"66" "Acanthemblemaria_castroi" "Chaenopsidae" "Perciformes"
"67" "Acanthemblemaria_chaplini" "Chaenopsidae" "Perciformes"
"68" "Acanthemblemaria_crockeri" "Chaenopsidae" "Perciformes"
"69" "Acanthemblemaria_exilispinus" "Chaenopsidae" "Perciformes"
"70" "Acanthemblemaria_greenfieldi" "Chaenopsidae" "Perciformes"
"71" "Acanthemblemaria_hancocki" "Chaenopsidae" "Perciformes"
"72" "Acanthemblemaria_harpeza" "Chaenopsidae" "Perciformes"
"73" "Acanthemblemaria_hastingsi" "Chaenopsidae" "Perciformes"
"74" "Acanthemblemaria_johnsoni" "Chaenopsidae" "Perciformes"
"75" "Acanthemblemaria_macrospilus" "Chaenopsidae" "Perciformes"
"76" "Acanthemblemaria_mangognatha" "Chaenopsidae" "Perciformes"
"77" "Acanthemblemaria_maria" "Chaenopsidae" "Perciformes"
"78" "Acanthemblemaria_medusa" "Chaenopsidae" "Perciformes"
"79" "Acanthemblemaria_paula" "Chaenopsidae" "Perciformes"
"80" "Acanthemblemaria_rivasi" "Chaenopsidae" "Perciformes"
"81" "Acanthemblemaria_spinosa" "Chaenopsidae" "Perciformes"
"82" "Acanthemblemaria_stephensi" "Chaenopsidae" "Perciformes"
"83" "Acanthicus_adonis" "Loricariidae" "Siluriformes"
"84" "Acanthicus_hystrix" "Loricariidae" "Siluriformes"
"85" "Acanthistius_brasilianus" "Serranidae" "Perciformes"
"86" "Acanthistius_cinctus" "Serranidae" "Perciformes"
"87" "Acanthistius_fuscus" "Serranidae" "Perciformes"
"88" "Acanthistius_joanae" "Serranidae" "Perciformes"
"89" "Acanthistius_ocellatus" "Serranidae" "Perciformes"
"90" "Acanthistius_pardalotus" "Serranidae" "Perciformes"
"91" "Acanthistius_patachonicus" "Serranidae" "Perciformes"
"92" "Acanthistius_paxtoni" "Serranidae" "Perciformes"
"93" "Acanthistius_pictus" "Serranidae" "Perciformes"
"94" "Acanthistius_sebastoides" "Serranidae" "Perciformes"
"95" "Acanthistius_serratus" "Serranidae" "Perciformes"
"96" "Acanthobrama_centisquama" "Cyprinidae" "Cypriniformes"
"97" "Acanthobrama_hadiyahensis" "Cyprinidae" "Cypriniformes"
"98" "Acanthobrama_lissneri" "Cyprinidae" "Cypriniformes"
"99" "Acanthobrama_marmid" "Cyprinidae" "Cypriniformes"
"100" "Acanthobrama_microlepis" "Cyprinidae" "Cypriniformes"
"101" "Acanthobrama_orontis" "Cyprinidae" "Cypriniformes"
"102" "Acanthobrama_persidis" "Cyprinidae" "Cypriniformes"
"103" "Acanthobrama_telavivensis" "Cyprinidae" "Cypriniformes"
