"s" "f" "o" "insertions"
"1" "Aapticheilichthys_websteri" "Poeciliidae" "Cyprinodontiformes" "Family_insertion"
"2" "Aaptosyax_grypus" "Cyprinidae" "Cypriniformes" "Family_insertion"
"3" "Abactochromis_labrosus" "Cichlidae" "Cichliformes" "Family_insertion"
"7" "Abbottina_binhi" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"8" "Abbottina_lalinensis" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"9" "Abbottina_liaoningensis" "Cyprinidae" "Cypriniformes" "Present_in_Tree"
"10" "Abbottina_obtusirostris" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"11" "Abbottina_rivularis" "Cyprinidae" "Cypriniformes" "Present_in_Tree"
"17" "Aborichthys_cataracta" "Nemacheilidae" "Cypriniformes" "Family_insertion"
"18" "Aborichthys_elongatus" "Nemacheilidae" "Cypriniformes" "Congeneric_Family_level"
"19" "Aborichthys_garoensis" "Nemacheilidae" "Cypriniformes" "Congeneric_Family_level"
"20" "Aborichthys_kempi" "Nemacheilidae" "Cypriniformes" "Congeneric_Family_level"
"21" "Aborichthys_rosammai" "Nemacheilidae" "Cypriniformes" "Congeneric_Family_level"
"22" "Aborichthys_tikaderi" "Nemacheilidae" "Cypriniformes" "Congeneric_Family_level"
"23" "Aborichthys_verticauda" "Nemacheilidae" "Cypriniformes" "Congeneric_Family_level"
"24" "Aborichthys_waikhomi" "Nemacheilidae" "Cypriniformes" "Congeneric_Family_level"
"25" "Abramis_brama" "Cyprinidae" "Cypriniformes" "Present_in_Tree"
"26" "Abramites_eques" "Anostomidae" "Characiformes" "Family_insertion"
"27" "Abramites_hypselonotus" "Anostomidae" "Characiformes" "Congeneric_Family_level"
"49" "Abyssocottus_elochini" "Abyssocottidae" "Perciformes" "Congeneric_insertion"
"50" "Abyssocottus_gibbosus" "Abyssocottidae" "Perciformes" "Present_in_Tree"
"51" "Abyssocottus_korotneffi" "Abyssocottidae" "Perciformes" "Present_in_Tree"
"61" "Acantharchus_pomotis" "Centrarchidae" "Centrarchiformes" "Present_in_Tree"
"84" "Acanthicus_hystrix" "Loricariidae" "Siluriformes" "Congeneric_insertion"
"96" "Acanthobrama_centisquama" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"97" "Acanthobrama_hadiyahensis" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"98" "Acanthobrama_lissneri" "Cyprinidae" "Cypriniformes" "Present_in_Tree"
"99" "Acanthobrama_marmid" "Cyprinidae" "Cypriniformes" "Present_in_Tree"
"100" "Acanthobrama_microlepis" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"101" "Acanthobrama_orontis" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"102" "Acanthobrama_persidis" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"103" "Acanthobrama_telavivensis" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"104" "Acanthobrama_thisbeae" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"105" "Acanthobrama_tricolor" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"106" "Acanthobrama_urmianus" "Cyprinidae" "Cypriniformes" "Congeneric_insertion"
"107" "Acanthobunocephalus_nicoi" "Aspredinidae" "Siluriformes" "Family_insertion"
"113" "Acanthocharax_microlepis" "Characidae" "Characiformes" "Family_insertion"
"115" "Acanthocleithron_chapini" "Mochokidae" "Siluriformes" "Family_insertion"
"121" "Acanthocobitis_botia" "Nemacheilidae" "Cypriniformes" "Present_in_Tree"
"122" "Acanthocobitis_mooreh" "Nemacheilidae" "Cypriniformes" "Congeneric_insertion"
"123" "Acanthocobitis_pavonacea" "Nemacheilidae" "Cypriniformes" "Present_in_Tree"
"124" "Acanthocobitis_pictilis" "Nemacheilidae" "Cypriniformes" "Congeneric_insertion"
"125" "Acanthocobitis_rubidipinnis" "Nemacheilidae" "Cypriniformes" "Congeneric_insertion"
"126" "Acanthocobitis_urophthalmus" "Nemacheilidae" "Cypriniformes" "Congeneric_insertion"
"128" "Acanthodoras_cataphractus" "Doradidae" "Siluriformes" "Present_in_Tree"
"129" "Acanthodoras_depressus" "Doradidae" "Siluriformes" "Congeneric_insertion"
"130" "Acanthodoras_spinosissimus" "Doradidae" "Siluriformes" "Present_in_Tree"
"132" "Acanthogobio_guentheri" "Cyprinidae" "Cypriniformes" "Present_in_Tree"
"134" "Acanthogobius_flavimanus" "Gobiidae" "Gobiiformes" "Present_in_Tree"
"135" "Acanthogobius_hasta" "Gobiidae" "Gobiiformes" "Congeneric_insertion"
"137" "Acanthogobius_lactipes" "Gobiidae" "Gobiiformes" "Present_in_Tree"
"138" "Acanthogobius_luridus" "Gobiidae" "Gobiiformes" "Congeneric_insertion"
"147" "Acanthopagrus_berda" "Sparidae" "Spariformes" "Present_in_Tree"
"149" "Acanthopagrus_butcheri" "Sparidae" "Spariformes" "Present_in_Tree"
"152" "Acanthopagrus_latus" "Sparidae" "Spariformes" "Present_in_Tree"
"163" "Acanthopagrus_vagus" "Sparidae" "Spariformes" "Congeneric_insertion"
"170" "Acanthopoma_annectens" "Trichomycteridae" "Siluriformes" "Present_in_Tree"
"172" "Acanthopsoides_delphax" "Cobitidae" "Cypriniformes" "Congeneric_insertion"
"173" "Acanthopsoides_gracilentus" "Cobitidae" "Cypriniformes" "Present_in_Tree"
"174" "Acanthopsoides_gracilis" "Cobitidae" "Cypriniformes" "Congeneric_insertion"
"175" "Acanthopsoides_hapalias" "Cobitidae" "Cypriniformes" "Present_in_Tree"
"176" "Acanthopsoides_molobrion" "Cobitidae" "Cypriniformes" "Present_in_Tree"
"177" "Acanthopsoides_namromensis" "Cobitidae" "Cypriniformes" "Congeneric_insertion"
"178" "Acanthopsoides_robertsi" "Cobitidae" "Cypriniformes" "Present_in_Tree"
"179" "Acanthorhodeus_chankaensis" "Cyprinidae" "Cypriniformes" "Present_in_Tree"
"225" "Acantopsis_dialuzona" "Cobitidae" "Cypriniformes" "Present_in_Tree"
